iter	Passed	Remaining
0	59	59797
1	60	30056
2	60	20193
3	61	15230
4	61	12243
5	61	10250
6	62	8820
7	62	7754
8	62	6925
9	63	6254
10	63	5703
11	63	5245
12	64	4864
13	64	4538
14	64	4249
15	65	4000
16	65	3775
17	65	3577
18	65	3399
19	66	3238
20	66	3106
21	66	2977
22	67	2857
23	67	2745
24	67	2643
25	68	2549
26	68	2462
27	68	2383
28	69	2314
29	69	2248
30	69	2186
31	70	2128
32	70	2073
33	71	2018
34	71	1972
35	71	1926
36	72	1880
37	72	1841
38	73	1803
39	73	1764
40	73	1726
41	74	1691
42	74	1658
43	74	1624
44	75	1593
45	75	1565
46	75	1538
47	76	1513
48	76	1490
49	77	1479
50	78	1455
51	78	1432
52	79	1411
53	79	1392
54	79	1371
55	80	1350
56	80	1329
57	80	1311
58	81	1294
59	81	1276
60	81	1261
61	82	1246
62	82	1231
63	83	1215
64	83	1199
65	83	1184
66	84	1170
67	84	1156
68	84	1142
69	84	1129
70	85	1116
71	85	1105
72	86	1093
73	86	1082
74	86	1072
75	87	1062
76	87	1052
77	88	1042
78	88	1033
79	88	1022
80	89	1012
81	89	1001
82	89	989
83	89	979
84	90	970
85	90	961
86	90	953
87	91	944
88	91	937
89	92	931
90	92	924
91	92	917
92	93	911
93	93	904
94	94	898
95	94	890
96	94	882
97	95	875
98	95	868
99	95	862
100	96	855
101	96	849
102	96	843
103	97	836
104	97	829
105	97	823
106	97	816
107	98	811
108	98	806
109	98	799
110	99	793
111	99	787
112	99	782
113	99	776
114	100	772
115	100	768
116	101	763
117	101	759
118	101	754
119	102	750
120	102	745
121	102	740
122	103	736
123	103	732
124	104	728
125	104	724
126	104	719
127	105	715
128	105	712
129	105	708
130	106	703
131	106	699
132	106	694
133	106	691
134	107	687
135	107	684
136	108	681
137	108	678
138	108	675
139	109	671
140	109	668
141	109	663
142	110	659
143	110	656
144	110	652
145	110	648
146	111	645
147	111	642
148	112	639
149	112	637
150	112	634
151	113	630
152	113	627
153	113	624
154	113	620
155	114	618
156	114	615
157	114	612
158	115	609
159	115	606
160	115	602
161	115	599
162	116	596
163	116	593
164	116	591
165	117	589
166	117	587
167	118	585
168	118	583
169	119	581
170	119	579
171	119	576
172	119	573
173	120	570
174	120	568
175	120	566
176	121	564
177	121	561
178	121	558
179	122	556
180	122	554
181	122	551
182	123	549
183	123	546
184	123	544
185	123	542
186	124	539
187	124	537
188	124	535
189	125	533
190	125	531
191	125	529
192	126	528
193	126	526
194	127	524
195	127	523
196	127	520
197	128	518
198	128	517
199	128	515
200	129	514
201	129	512
202	130	510
203	130	509
204	130	507
205	131	505
206	131	503
207	131	501
208	132	499
209	132	497
210	132	495
211	132	494
212	133	492
213	133	491
214	134	489
215	134	487
216	134	485
217	134	484
218	135	482
219	135	480
220	135	478
221	136	477
222	136	475
223	136	474
224	137	472
225	137	470
226	137	469
227	138	467
228	138	465
229	138	464
230	139	462
231	139	461
232	139	460
233	140	458
234	140	457
235	140	456
236	141	455
237	141	453
238	142	452
239	142	451
240	142	449
241	143	448
242	143	447
243	143	445
244	144	444
245	144	442
246	144	441
247	145	440
248	145	439
249	146	438
250	146	436
251	146	435
252	147	434
253	147	433
254	147	432
255	148	430
256	148	429
257	148	428
258	149	426
259	149	425
260	149	424
261	150	423
262	150	422
263	150	420
264	151	419
265	151	418
266	152	417
267	152	416
268	152	415
269	153	413
270	153	412
271	153	411
272	154	410
273	154	408
274	154	407
275	154	406
276	155	405
277	155	404
278	155	402
279	156	401
